Date,Open,High,Low,Close,Adj Close,Volume
2012-02-01,16.830000,19.620001,16.760000,18.510000,16.437841,2581000
2012-03-01,18.420000,19.469999,16.990000,18.959999,16.837463,2660700
2012-04-01,18.850000,19.090000,16.500000,16.719999,15.004813,2912600
2012-05-01,16.020000,16.299999,13.740000,14.320000,12.851014,3199000
2012-06-01,14.140000,14.870000,13.440000,14.520000,13.030497,2688000
2012-07-01,14.330000,14.990000,13.000000,13.800000,12.384356,1999500
2012-08-01,13.400000,14.380000,13.190000,13.930000,12.501021,2132100
2012-09-01,13.810000,16.320000,13.630000,15.870000,14.242011,3809600
2012-10-01,15.880000,17.750000,15.140000,16.150000,14.493286,2886700
2012-11-01,16.080000,16.650000,14.870000,15.100000,13.551001,2259800
2012-12-01,14.990000,15.150000,12.550000,13.310000,11.944622,1957900
2013-01-01,13.480000,13.600000,12.080000,12.160000,10.912592,4587000
2013-02-01,12.150000,12.270000,11.360000,12.060000,10.822851,1360800
2013-03-01,12.100000,14.190000,12.070000,13.440000,12.061286,1876100
2013-04-01,13.380000,15.070000,13.080000,13.750000,12.339485,3545400
2013-05-01,13.470000,14.410000,12.400000,12.470000,11.190792,2399500
2013-06-01,12.390000,14.760000,11.650000,14.670000,13.165108,1471600
2013-07-01,14.700000,17.559999,14.320000,15.800000,14.179191,2803000
2013-08-01,16.610001,17.049999,13.950000,14.090000,12.644608,648300
2013-09-01,14.930000,15.340000,13.500000,14.120000,12.671532,1428100
2013-10-01,14.230000,15.040000,13.670000,14.010000,12.572815,3138300
2013-11-01,14.000000,16.910000,13.960000,16.080000,14.430468,908700
2013-12-01,15.970000,16.799999,15.060000,16.680000,14.968918,695800
2014-01-01,16.620001,19.150000,14.500000,14.630000,13.129214,4235400
2014-02-01,14.750000,15.850000,13.960000,15.400000,13.820226,3493200
2014-03-01,15.010000,15.630000,14.120000,14.890000,13.362543,2693200
2014-04-01,14.690000,14.770000,12.990000,13.080000,11.840038,2400500
2014-05-01,13.230000,14.620000,12.900000,14.560000,13.179739,2706100
2014-06-01,14.540000,15.350000,13.940000,14.950000,13.532767,2701000
2014-07-01,15.060000,15.980000,13.800000,13.830000,12.518940,1565600
2014-08-01,13.770000,14.390000,13.250000,13.890000,12.573254,601800
2014-09-01,14.450000,14.450000,13.530000,13.590000,12.301693,649700
2014-10-01,13.390000,13.850000,12.430000,13.670000,12.374108,778100
2014-11-01,13.250000,14.550000,13.070000,14.500000,13.125426,660000
2014-12-01,14.780000,14.870000,12.950000,12.950000,11.722363,1245800
2015-01-01,12.960000,13.050000,11.800000,12.040000,10.898629,953200
2015-02-01,12.140000,13.400000,11.990000,13.340000,12.075393,616700
2015-03-01,13.440000,24.500000,13.420000,18.430000,16.682871,8336900
2015-04-01,18.639999,22.350000,18.320000,21.040001,19.228264,1164300
2015-05-01,21.180000,23.879999,20.770000,21.160000,19.337933,2324800
2015-06-01,21.600000,22.170000,19.719999,20.980000,19.173431,3916600
2015-07-01,21.219999,22.950001,19.840000,22.010000,20.114735,3946900
2015-08-01,22.260000,25.709999,21.610001,25.620001,23.413885,2091800
2015-09-01,24.100000,24.950001,20.209999,20.969999,19.164293,1292500
2015-10-01,21.520000,24.879999,20.049999,20.219999,18.505711,3185600
2015-11-01,20.020000,21.030001,19.049999,19.129999,17.508125,890500
2015-12-01,19.420000,19.670000,16.610001,17.260000,15.796669,1353700
2016-01-01,17.240000,17.580000,15.340000,17.570000,16.080383,2312000
2016-02-01,17.750000,18.799999,16.059999,17.389999,15.915643,2475500
2016-03-01,17.200001,18.900000,17.000000,17.750000,16.245127,1536000
2016-04-01,17.360001,19.969999,16.730000,17.059999,15.736550,1484400
2016-05-01,17.180000,18.610001,17.180000,18.340000,16.917255,1235300
2016-06-01,18.190001,19.360001,16.770000,17.780001,16.400696,1022700
2016-07-01,17.700001,38.250000,17.450001,25.780001,23.780087,97879900
2016-08-01,25.360001,28.670000,25.040001,27.280001,25.163719,11001800
2016-09-01,28.059999,36.549999,27.850000,32.980000,30.421532,19985700
2016-10-01,32.730000,32.830002,27.900000,30.090000,27.755730,7679200
2016-11-01,30.049999,32.590000,28.139999,30.830000,28.438322,7754000
2016-12-01,30.389999,32.180000,24.440001,25.950001,23.936897,12721700
2017-01-01,25.980000,27.889999,24.120001,24.730000,22.811539,8252100
2017-02-01,24.790001,26.760000,24.680000,26.110001,24.084484,3976800
2017-03-01,26.000000,30.959999,25.000000,29.020000,26.768740,9334500
2017-04-01,30.090000,31.690001,28.879999,31.680000,29.689428,6716100
2017-05-01,31.690001,38.389999,31.500000,37.830002,35.453003,8600300
2017-06-01,37.330002,44.330002,36.919998,41.820000,39.192291,16335400
2017-07-01,40.880001,43.070000,38.130001,42.459999,39.792084,8588300
2017-08-01,42.049999,43.290001,40.509998,41.630001,39.014236,4116600
2017-09-01,41.869999,48.650002,40.549999,45.950001,43.062794,7868200
2017-10-01,46.459999,51.740002,46.070000,48.650002,45.715805,8914100
